基金代码,基金名称,7日年化,14日年化,28日年化,日期
161623,融通汇财宝货币B,2.702%,2.7582%,2.7911%,2019-07-17
003206,博时合鑫货币,2.579%,2.5441%,2.6513%,2019-07-17
040039,华安日日鑫货币B,2.654%,2.6374%,2.6891%,2019-07-17
000678,华宝现金宝货币E,2.648%,2.692%,2.7387%,2019-07-17
240007,华宝现金宝货币B,2.648%,2.6923%,2.7386%,2019-07-17
001078,华夏现金宝货币B,2.663%,2.7529%,2.8203%,2019-07-17
003537,招商招利宝货币A,2.52%,2.513%,2.5801%,2019-07-17
003679,中融现金增利货币C,2.591%,2.6169%,2.9554%,2019-07-17
001870,前海开源货币A,2.073%,1.9824%,2.1429%,2019-07-17
004262,招商招禧宝货币B,2.585%,2.5836%,2.5959%,2019-07-17
004039,中欧骏泰货币,2.527%,2.5313%,2.677%,2019-07-17
000627,大成丰财宝货币B,2.535%,2.5267%,2.5751%,2019-07-17
001909,创金合信货币,2.837%,2.9973%,3.2921%,2019-07-17
003481,光大耀钱包货币B,2.674%,2.7159%,2.7773%,2019-07-17
420106,天弘现金管家货币B,2.794%,2.7579%,2.7087%,2019-07-17
004398,融通现金宝货币B,2.653%,2.6531%,2.7955%,2019-07-17
003792,民生加银现金宝货币C,2.664%,2.7108%,2.7836%,2019-07-17
004399,融通汇财宝货币E,2.651%,2.707%,2.7398%,2019-07-17
004749,华泰紫金天天金交易型货币B,2.835%,2.8346%,2.847%,2019-07-17
000908,农银红利日结货币B,2.562%,2.6398%,2.6027%,2019-07-17
003402,安信活期宝货币A,2.65%,2.5945%,2.6956%,2019-07-17
003875,浙商日添金货币B,2.598%,2.6071%,2.5981%,2019-07-17
003229,浦银安盛日日鑫货币B,2.383%,2.4048%,2.5941%,2019-07-17
519507,万家货币B,2.441%,2.4628%,2.6288%,2019-07-17
000560,诺安天天宝E,2.397%,2.3829%,2.483%,2019-07-17
180009,银华货币B,2.519%,2.4759%,2.5362%,2019-07-17
002680,工银安盈货币B,2.495%,2.461%,2.7459%,2019-07-17
000543,上银慧财宝货币B,2.59%,2.6046%,2.6574%,2019-07-17
000677,工银现金货币,2.562%,2.6338%,2.6973%,2019-07-17
000790,易方达龙宝货币B,2.582%,2.6414%,2.7129%,2019-07-17
003871,华泰柏瑞天添宝货币B,2.65%,2.7176%,2.8307%,2019-07-17
675031,西部利得天添鑫货币A,2.633%,2.756%,2.8608%,2019-07-17
004216,兴业安润货币A,2.318%,2.3184%,2.3684%,2019-07-17
001308,博时外服货币,2.569%,2.4946%,2.5563%,2019-07-17
001478,泰康薪意保货币B,2.352%,2.416%,2.7286%,2019-07-17
002672,诺德货币A,2.064%,1.9632%,2.1029%,2019-07-17
003465,平安金管家货币,2.702%,2.6549%,2.7722%,2019-07-17
004449,上银慧增利货币,2.531%,2.5412%,2.6107%,2019-07-17
000917,嘉实快线货币A,2.694%,2.6901%,2.8035%,2019-07-17
020007,国泰货币,2.622%,2.6242%,2.5369%,2019-07-17
000332,中加货币C,2.529%,2.5494%,2.66%,2019-07-17
000493,南方现金通A,2.647%,2.6663%,2.5558%,2019-07-17
004373,金鹰增益货币B,2.716%,2.7144%,2.7915%,2019-07-17
