基金代码,基金名称,7日年化,14日年化,28日年化,日期
004151,先锋日添利A,1.956%,2.029%,2.076%,2019-07-17
100025,富国天时货币A,2.155%,2.1435%,2.1868%,2019-07-17
003363,长江乐享货币A,2.123%,2.0486%,2.0963%,2019-07-17
001698,大成恒丰宝货币B,2.017%,1.9945%,2.0504%,2019-07-17
002234,泰信天天收益货币B,1.958%,1.9642%,2.0948%,2019-07-17
004133,中航航行宝货币,2.093%,2.0714%,2.0948%,2019-07-17
003399,太平日日金货币B,2.813%,2.1923%,2.3377%,2019-07-17
001925,兴业鑫天盈货币A,3.138%,2.5393%,2.2955%,2019-07-17
360003,光大货币,1.966%,1.939%,1.9661%,2019-07-17
004699,前海联合汇盈货币A,1.955%,2.0461%,2.3556%,2019-07-17
270004,广发货币A,2.09%,2.1674%,2.2997%,2019-07-17
740601,长安货币A,2.28%,2.1269%,2.1653%,2019-07-17
320019,诺安货币B,2.995%,2.4365%,2.5459%,2019-07-17
253051,国联安货币B,2.028%,2.0518%,2.3397%,2019-07-17
004984,鹏扬现金通利货币B,2.062%,2.0765%,2.2669%,2019-07-17
000741,兴银货币A,1.944%,1.9045%,2.1301%,2019-07-17
004554,中信建投货币B,2.219%,2.1976%,2.2755%,2019-07-17
005150,红土创新优淳货币A,2.444%,2.5527%,2.4357%,2019-07-17
002960,博时合利货币,1.858%,1.8023%,1.8286%,2019-07-17
000424,长盛添利宝货币A,2.33%,2.225%,2.198%,2019-07-17
020031,国泰现金管理货币A,2.047%,2.1755%,2.3047%,2019-07-17
002200,大成慧成货币A,1.886%,1.8361%,1.8786%,2019-07-17
004072,金元顺安金通宝货币A,1.948%,1.9815%,2.0892%,2019-07-17
004077,金信民发货币A,1.974%,1.917%,2.0737%,2019-07-17
002760,东兴安盈宝B,2.0%,1.9848%,2.5372%,2019-07-17
003588,东吴增鑫宝货币A,1.94%,1.9613%,2.1836%,2019-07-17
001992,农银天天利货币B,2.235%,2.1427%,2.1414%,2019-07-17
004493,华泰保兴货币A,1.936%,1.85%,1.9997%,2019-07-17
002709,红塔红土人人宝货币A,1.972%,1.9758%,2.1181%,2019-07-17
004179,圆信永丰丰润货币B,2.007%,1.9526%,2.3786%,2019-07-17
000475,广发天天利货币A,2.002%,2.0083%,2.1907%,2019-07-17
000683,信达澳银慧管家货币E,2.04%,1.989%,1.9518%,2019-07-17
001401,德邦如意货币,2.202%,2.11%,2.2531%,2019-07-17
001101,银华惠添益货币,1.941%,1.9796%,2.1075%,2019-07-17
110006,易方达货币A,2.02%,1.9584%,2.2942%,2019-07-17
400005,东方金账簿货币A,1.909%,1.9473%,2.1274%,2019-07-17
519567,浦银安盛日日盈货币B,2.195%,2.1733%,2.3791%,2019-07-17
002747,中欧货币C,1.891%,1.8268%,1.985%,2019-07-17
166014,中欧货币A,1.893%,1.8485%,2.0001%,2019-07-17
040003,华安现金富利货币A,1.896%,1.9897%,2.2046%,2019-07-17
000324,华润元大现金收益货币A,1.821%,1.7861%,1.8857%,2019-07-17
000301,德邦德利货币B,2.035%,1.9169%,2.1669%,2019-07-17
001826,国寿安保增金宝货币,1.915%,2.1727%,2.2822%,2019-07-17
004369,前海开源聚财宝B,2.34%,2.3333%,2.3826%,2019-07-17
004285,华富天盈货币A,2.965%,2.5719%,2.442%,2019-07-17
004786,渤海汇金汇添金货币A,1.848%,1.8228%,2.0822%,2019-07-17
002957,财通财通宝货币A,1.894%,1.9558%,2.0397%,2019-07-17
519512,万家日日薪货币B,1.904%,1.8627%,1.8635%,2019-07-17
519588,交银货币A,1.895%,1.8768%,1.7903%,2019-07-17
000912,英大现金宝货币,2.02%,2.0742%,2.463%,2019-07-17
003478,民生加银腾元宝货币A,1.818%,1.7485%,2.3125%,2019-07-17
070028,嘉实安心货币A,1.782%,1.8094%,1.8254%,2019-07-17
000872,北信瑞丰宜投宝B,2.883%,2.8966%,2.6646%,2019-07-17
121011,国投瑞银货币A,1.987%,1.8316%,2.4005%,2019-07-17
000210,光大现金宝货币A,2.175%,1.6132%,1.5999%,2019-07-17
003422,国寿安保添利货币A,1.796%,1.8396%,3.8016%,2019-07-17
000434,新华壹诺宝货币A,1.851%,1.9094%,1.7594%,2019-07-17
000712,上投摩根天添宝货币A,1.774%,1.7731%,1.9188%,2019-07-17
002078,浙商日添利B,1.83%,1.8153%,1.8108%,2019-07-17
004173,嘉实增益宝货币,1.677%,1.6398%,1.9825%,2019-07-17
630012,华商现金增利货币A,1.768%,1.7639%,1.9525%,2019-07-17
001624,兴业添天盈货币A,2.519%,2.9182%,2.7278%,2019-07-17
004368,前海开源聚财宝A,2.248%,2.2412%,2.2902%,2019-07-17
000721,兴业货币A,1.847%,2.05%,2.068%,2019-07-17
004983,鹏扬现金通利货币A,1.859%,1.8755%,2.0619%,2019-07-17
004968,红土创新货币B,2.144%,2.1095%,2.8182%,2019-07-17
001697,大成恒丰宝货币A,1.772%,1.75%,1.8092%,2019-07-17
003398,太平日日金货币A,2.567%,1.9473%,2.0921%,2019-07-17
004178,圆信永丰丰润货币A,1.805%,1.7348%,2.1608%,2019-07-17
290001,泰信天天收益货币A,1.717%,1.7244%,1.8546%,2019-07-17
320002,诺安货币A,2.752%,2.1935%,2.3073%,2019-07-17
002318,鹏华添利交易型货币A,2.705%,2.4456%,2.3403%,2019-07-17
253050,国联安货币A,1.784%,1.8071%,2.0928%,2019-07-17
000738,中信建投货币A,1.973%,1.9521%,2.0293%,2019-07-17
000204,国富日日收益货币B,1.852%,2.7634%,2.8869%,2019-07-17
002759,东兴安盈宝A,1.765%,1.7555%,2.3128%,2019-07-17
001991,农银天天利货币A,1.988%,1.8926%,1.8932%,2019-07-17
519566,浦银安盛日日盈货币A,1.947%,1.9258%,2.1323%,2019-07-17
000300,德邦德利货币A,1.794%,1.6762%,1.9259%,2019-07-17
560001,益民货币,1.67%,1.5737%,1.5677%,2019-07-17
000871,北信瑞丰宜投宝A,2.64%,2.6513%,2.417%,2019-07-17
519511,万家日日薪货币A,1.659%,1.6182%,1.619%,2019-07-17
002077,浙商日添利A,1.585%,1.5704%,1.5746%,2019-07-17
004967,红土创新货币A,1.893%,1.8564%,2.574%,2019-07-17
000203,国富日日收益货币A,1.628%,2.5331%,2.6487%,2019-07-17
004210,前海开源货币E,1.935%,1.915%,2.1092%,2019-07-17
000484,鑫元货币B,1.793%,1.8142%,2.0048%,2019-07-17
005003,交银天运宝货币E,1.257%,1.2012%,1.3051%,2019-07-17
000483,鑫元货币A,1.549%,1.5699%,1.7597%,2019-07-17
003171,信达澳银慧理财货币,1.01%,1.0279%,1.0667%,2019-07-17
005002,交银天运宝货币A,1.014%,0.9584%,1.0713%,2019-07-17
000659,银华活钱宝货币C,%,%,%,
000658,银华活钱宝货币B,%,%,%,
000660,银华活钱宝货币D,%,%,%,
000657,银华活钱宝货币A,%,%,%,
000661,银华活钱宝货币E,%,%,%,
000856,上投摩根天添盈货币B,%,%,%,
519513,万家日日薪货币R,%,%,%,
